fpid,doi,impact_matrix,factor1_title,factor1_direction,factor2_title,factor2_direction,factor3_title,factor3_direction,factor4_title,factor4_direction,factor5_title,factor5_direction,factor6_title,factor6_direction,factor7_title,factor7_direction,factor8_title,factor8_direction
Soil amendment with biochar,10.1016/j.scitotenv.2018.11.316,Air pollutants emissions,Biochar pH,"The application of acidic biochar (pH ≤ 4) significantly decreased AV (RR = −42.2%, CI: −58.1 to −21.5%), while introducing high pH biochar (>9) increased AV by 30.8% (CI: 9.9–59.4%).",Biochar BET surface area,"Increasing biochar surface area initially reduced AV, but for biochar with surface area values >80 m2 g−1, application tended to increase AV",Biochar carbon content,"High biochar carbon content (>65%) reduced AV, while biochar of carbon content around 50 to 60% were associated with an increase in AV.",Soil pH,"Ammonia volatilization increased after biochar application to acidic soils (pH ≤ 6) (RR = 38.38%, CI: 11.9–75.1%).",Soil nitrogen,"Ammonia volatilisation from soil initially increased with increasing STN following biochar addition, but for STN values above 2 (g/kg) AV tended to remain steady.",Soil organic carbon,"Biochar applied to soils with high SOC (above 3%) significantly reduced AV (RR = −42.8%, CI: −56.1 to −23.3%) (Fig. 3B); on the contrary, AV was increased when biochar was added to soils with relatively low SOC (SOC < 1%: RR = 19.6%, CI: 0.2–48.2%; SOC around 1% to 2%: RR = 14.7%, CI: 3.7–26.1%).",Soil texture,"Biochar applied to coarse soils increased AV (RR = 25.9%, CI: 6.5–51.4%), but AV was decreased following biochar addition to fine soils (RR = −58.4%, CI: −67.5 to −45.1%).",Fertiliser-N application rate,"The AV was significantly reduced by adding biochar at relatively low fertilizer application rates (RR = −33.5%, CI: −52.5 to −11.8%); with increasing fertilizer application rate biochar addition tend to enhance AV but no significant difference was observed among the three sub-groups."
Soil amendment with biochar,10.1016/j.scitotenv.2018.11.396,GHG emissions,Cropping system,The reduction in dry lands (−41%) was significantly higher compared to that in paddy fields (−17%) .,N fertilisation,"When no N fertilizer was applied, biochar application had no effect on GHGI. In contrast, GHGI was significantly reduced by 23–54% as a result of biochar application when N fertilizer was applied, and the reductions decreased in the order: high application rate (>300 kg N ha−1) > low application rate (>0, ≤150 kg N ha−1) > moderate application rate (>150, ≤300 kg N ha−1). However, the differences in reductions in GHGI among the three application rates were not significant.",Biochar application rate,"Biochar significantly reduced GHGI by 21% when the application rate of biochar did not exceed 5 t ha−1. The reductions in GHGI varied in a range of 26–50% when the application rate of biochar was higher than 5 t ha−1, but the differences among different treatments were also not significant.",Soil pH,"Significant reductions (−31%) in yield-scaled GHGI were observed when incorporating biochar into acidic and alkaline soils. In contrast, applying biochar to neutral soils had no effect on GHGI. Although the reductions in GHGI in acidic and alkaline soils were 3.4 times greater than that in neutral soils after biochar application, the differences among them were not significant.",Soil texture,"The reduction in soils with fine texture was almost twice as large as those in soils with medium and coarse textures. Nevertheless, the differences did not differ significantly among the three soil textures.",NA,NA,NA,NA,NA,NA
Soil amendment with biochar,10.1016/j.scitotenv.2018.12.381,Plant nutrient uptake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grazing management,10.1016/j.scitotenv.2019.134553,Soil biological quality,Precipitation,"When the results across global experiments were averaged, grazing significantly decreased AM fungal abundance by 17.43% in conditions of <400 mm precipitation (P < 0.01), however, the impact of grazing on AM fungal abundance was not significant in conditions of ＞400 mm precipitation.",Duration of treatment,"Grazing significantly decreased AM fungal abundance regardless of the duration of the experiment. However, the magnitude of the decrease in AM fungal abundance was less in experiments lasting ＜5 years (9.31%) than in experiments lasting > 5 years (22.91%; P < 0.05).",Plant type,"Light grazing had no effect on mycorrhizal colonisation of grass roots, forb roots and mixed roots. However, moderate grazing reduced mycorrhizal colonisation of mixed roots by 22.66% but had no effect on colonisation of grass and forb roots. Heavy grazing greatly reduced mycorrhizal colonisation of grass roots and mixed roots by 15.58% and 87.21%, respectively, but had no impact on colonisation of forb roots. Light, moderate and heavy grazing significantly decreased aboveground biomass by 23.18%, 40.72% and 95.52%, respectively (P < 0.05).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Landscape features,10.1016/j.scitotenv.2019.135345,Animal production,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Landscape features,10.1016/j.scitotenv.2019.135345,Biodiversity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Landscape features,10.1016/j.scitotenv.2019.135345,Carbon sequestration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Landscape features,10.1016/j.scitotenv.2019.135345,Grassland production,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Landscape features,10.1016/j.scitotenv.2019.135345,Soil erosion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Landscape features,10.1016/j.scitotenv.2019.135345,Water quality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Manure processing techniques; Manure storage techniques,10.1016/j.scitotenv.2019.135401,Air pollutants emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Manure processing techniques; Manure storage techniques,10.1016/j.scitotenv.2019.135401,GHG emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Manure processing techniques; Manure storage techniques,10.1016/j.scitotenv.2019.135401,Nutrients recovery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Landscape features,10.1016/j.scitotenv.2019.135839,Biodiversity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soil amendment with biochar,10.1016/j.scitotenv.2020.136635,Crop yield,Biochar pH,"Only the BC-pH (<7) group showed a significant decrease in plant productivity (−12.3%). Notably, the total number of studies in the low BC-pH group (<7) was 53, only accounting for 4.74% of the total amount of tested biochars (1110), reflecting that most of the biochars used for improving plant productivity were alkaline. For the BC-pH groups, the highest increase in plant productivity was recorded in case of the BC-pH (7–8) group (29.4%), which was significantly higher than that for other groups.",Biochar ash content,PPR was positively correlated with biochar properties including ash.,Biochar Cation exchange capacity,PPR was positively correlated with biochar properties including CEC.,Biochar total carbon and total organic carbon,PPR was negatively correlated with biochar properties including TC and TOC,Soil pH,The plant growth would be improved much higher by the biochars applied in the soils with low pH compared to other soil groups.,Soil C/N ratio and Soil organic carbon,"The plant growth would be improved much higher by the biochars applied in the soils with low C/N ratio, compared to other soil groups. PPRs negatively correlated with soil C/N. PPRs positively correlated with SOC.",Soil total nitrogen,The plant growth would be improved much higher by the biochars applied in the soils with high TN compared to other soil groups. PPRs positively correlated with TN.,Soil texture,Addition of biochar to sand-texture soils can induce a significantly higher positive PPR than silt-texture soils.
Soil amendment with biochar,10.1016/j.scitotenv.2020.136857,Soil physico-chemical quality,Soil texture,"Biochar increased the TP for both fine and coarse-textured soil types, although the increment was greater in coarse-textured soils (7.9%)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soil amendment with biochar,10.1016/j.scitotenv.2020.136857,Soil water retention,Experiment type,"When compared to field studies, AWC was on average 9.8% higher in lab studies. The same was true for FC where lab studies showed 3.4% increase in FC compared to field studies.",Soil texture,"Biochar addition had the greatest effect in coarse textured soils (sand) with AWC, FC and PWP increasing by 32.9%, 23.9% and 22.2% compared to the control, respectively. The effect of biochar on fine textured soils (clay) was lower, but still showed a significant increase of AWC and FC by 9.1% and 3.5%, and a decrease of PWP by 0.4% compared to the control, respectively.As the % sand in soil increased, the effect of biochar on the AWC, FC and PWP also increased, while the reverse was the case for % clay content. Biochar increased AWC by 37% in soils with >75% sand content. For >30% clay content, AWC was reduced by 31.2%.",Biochar particle size,"Smaller biochar particle size (<2 mm) increased AWC significantly by 38.2% when compared to >2 mm, most likely due to a 22.3% increase in field capacity.",Biochar specific surface area,"Biochar with >300 m2/g SSA increased available water capacity and FC by 70% and 52%, respectively, when compared to the control. The results also showed that as the SSA increased the effect of biochar on available water capacity also increased. Studies that used biochar with >300 m2/g observed an increase in available water capacity by 33.3% when compared to those that used biochar with SSA of <20 m2/g.",Biochar carbon content,"An increase in the carbon content of biochar caused an increase of its effect on AWC. Biochar with >70% carbon significantly increased AWC by 33.3% when compared to biochar with <50% carbon. A similar trend was seen in case of FC, where biochar with >70% carbon increased FC by 26%.",Biochar application rate,AWC in treatments with <30 t/ha increased by 16.4% while there was no difference for treatments with 71–200 t/ha when compared to the control. In coarse-textured soil biochar application rates of 30–70 t/ha increased AWC and FC by 23.5% and 36.78% compared to <30 t/ha application rate.,NA,NA,NA,NA
Crop residue management,10.1016/j.scitotenv.2020.137164,Soil biological quality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Organic fertilisation; Manure processing techniques,10.1016/j.scitotenv.2020.139390,GHG emissions,Climate,"Soils emitted more N2O in warm temperate (LnR = 1.29) with manure application, which is followed by cool temperate (LnR = 1.04). In contrast, soils in tropical areas were identified with lowest N2O emission (LnR = 0.74).",Crop type,"Soils with grass were identified with largest effect size for N2O emission with manure application (lnR = 1.60), which is followed by maize (lnR = 0.99) and wheat (lnR = 0.74). Soils in rice and bean cropping systems showed similar effect sizes of N2O emission with manure application (0.13 and 0.09, respectively), which is relatively lower when compared with other cropping systems.",Water filled pore space,"N2O emission increased most in soils with water-filled pore space (WFPS) of 50–90% (lnR = 1.44), which was higher than soils with WPFS <50% (lnR = 1.00, p > 0.05) and WPFS >90% (lnR = 0.62, p < 0.05).",Duration of treatment,Short-term application of manure (<3 months) produced higher N2O emission than long-term application (1–5 years).,Soil organic carbon,The effect size (lnR) of N2O emission in the soils with medium SOC content (10–30 g kg−1) (1.25) was greater than low (<10 g kg−1) (0.84) and high (>30 g kg−1) (0.93) SOC contents.,NA,NA,NA,NA,NA,NA
Cover and catch crops; Mulching,10.1016/j.scitotenv.2020.139517,Soil erosion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No tillage and reduced tillage,10.1016/j.scitotenv.2020.140147,Carbon sequestration,Soil depth,No positive effect deeper than 20cm,Residue retention,Stronger positive effect with residue retention,Duration,Stronger effect when <6 years without residue retention,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soil amendment with biochar; Water-saving irrigation practices in non-flooded lands,10.1016/j.scitotenv.2020.140696,Crop yield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soil amendment with biochar; Water-saving irrigation practices in non-flooded lands,10.1016/j.scitotenv.2020.140696,GHG emissions,Proportion of water reduction,"Reducing irrigation water approximately 20% of the full irrigation decreased N2O emissions, emissions factors and yield-scaled emissions.",Crop type,"Reducing irrigation water decreased N2O emissions, emissions factors and yield-scaled emissions in fruit crops (tomato, cucumber, pepper and eggplant) and was not significant in stem crops (celery and broccoli).",Soil type,"Reducing irrigation water decreased N2O emissions, emissions factors and yield-scaled emissions in soils categorized as medium (loam, silty loam and silt), but effect was no signifficant in soils categorized as fine (clay loam, sandy clay loam, silty clay loam, sandy clay, silty clay and clay).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soil amendment with biochar; Water-saving irrigation practices in non-flooded lands,10.1016/j.scitotenv.2020.140696,Plant nutrient uptake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Water-saving irrigation practices in non-flooded lands,10.1016/j.scitotenv.2020.140696,Water use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Organic fertilisation,10.1016/j.scitotenv.2020.141003,Carbon sequestration,Soil texture,Manure application to clay loam soil induced nominally larger effect sizes of SOC and TN.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
