"sustainability_outcome","impact_matrix","impact_positive_effect","metric_std2","metric","metric_positive_effect","metric_unit","doi","fpid"
"Biodiversity","Pests and diseases","Decrease","pest","Predator diversity","decrease",NA,"10.1016/j.agee.2017.04.015","Landscape features"
"Soil health","Soil erosion","Decrease","Soil erosion parameters","Soil sediment interception","increase",NA,"10.1016/j.agee.2017.04.015","Landscape features"
"Pollution","Nutrient leaching and run-off","Decrease","Nitrogen leaching","Subsurface N","decrease",NA,"10.1016/j.agee.2017.04.015","Landscape features"
"Pollution","Nutrient leaching and run-off","Decrease","Nitrogen run-off","Surface N","decrease","N-tot kg /m3 /time","10.1016/j.agee.2017.04.015","Landscape features"
"Pollution","Nutrient leaching and run-off","Decrease","Nitrogen interception (subsurface)","N interception: subsurface","increase",NA,"10.1016/j.agee.2017.04.015","Agroforestry practices and systems"
"Pollution","Nutrient leaching and run-off","Decrease","Nitrogen interception (surface)","N interception: surface","increase",NA,"10.1016/j.agee.2017.04.015","Agroforestry practices and systems"
"Pollution","Nutrient leaching and run-off","Decrease","Phosphorous interception","P interception: surface","increase",NA,"10.1016/j.agee.2017.04.015","Agroforestry practices and systems"
"Biodiversity","Pests and diseases","Decrease","pest","Pest control: predator density","decrease",NA,"10.1016/j.agee.2017.04.015","Agroforestry practices and systems"
"Biodiversity","Pests and diseases","Decrease","pest","Pest control: predator diversity","increase",NA,"10.1016/j.agee.2017.04.015","Agroforestry practices and systems"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon stock (aboveground + belowground biomass)","Belowground+Aboveground biomass C stock","increase",NA,"10.1111/gcb.17036","Agroforestry practices and systems"
"Agricultural production","Grassland production","Increase","forage yield","Forage yield","increase",NA,"10.1111/gcb.17036","Agroforestry practices and systems"
"Soil health","Soil nutrients","Increase","Soil nutrients (aggregated)","Soil nutrient provisioning","increase",NA,"10.1111/gcb.17036","Agroforestry practices and systems"
"Soil health","Soil biological quality","Increase","Soil biological quality parameters (aggregated)","Soil activity and diversity","increase",NA,"10.1111/gcb.17036","Agroforestry practices and systems"
"Sustainable use of resources","Plant nutrient uptake","Increase","Crop nitrogen uptake","Crop total nitrogen","increase",NA,"10.1016/j.agee.2018.07.019","Crop residue management"
"Soil health","Soil nutrients","Increase","Soil phosphorous","Available phosphorus","increase",NA,"10.1016/j.chemosphere.2021.130345","Soil amendment with lime and gypsum"
"Soil health","Soil physico-chemical quality","Increase","Soil salinity","Sodium absorption ratio","increase",NA,"10.1016/j.chemosphere.2021.130345","Soil amendment with lime and gypsum"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (bacteria)","Soil actinomycetes","increase",NA,"10.1016/j.chemosphere.2021.130345","Soil amendment with lime and gypsum"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (bacteria)","Soil bacteria","increase",NA,"10.1016/j.chemosphere.2021.130345","Soil amendment with lime and gypsum"
"Pollution","Heavy metals pollution","Decrease","Soil heavy metal content","Soil concentrations of Arsenic","decrease",NA,"10.1016/j.chemosphere.2021.130345","Soil amendment with lime and gypsum"
"Pollution","Heavy metals pollution","Decrease","Soil heavy metal content","Soil concentrations of Cadmium","decrease",NA,"10.1016/j.chemosphere.2021.130345","Soil amendment with lime and gypsum"
"Pollution","Heavy metals pollution","Decrease","Soil heavy metal content","Soil concentrations of Chromium","decrease",NA,"10.1016/j.chemosphere.2021.130345","Soil amendment with lime and gypsum"
"Pollution","Heavy metals pollution","Decrease","Soil heavy metal content","Soil concentrations of Lead","decrease",NA,"10.1016/j.chemosphere.2021.130345","Soil amendment with lime and gypsum"
"Pollution","Heavy metals pollution","Decrease","Soil heavy metal content","Soil concentrations of Mercury","decrease",NA,"10.1016/j.chemosphere.2021.130345","Soil amendment with lime and gypsum"
"Pollution","Heavy metals pollution","Decrease","Soil heavy metal content","Soil concentrations of Nickel","decrease",NA,"10.1016/j.chemosphere.2021.130345","Soil amendment with lime and gypsum"
"Soil health","Soil physico-chemical quality","Increase","Soil salinity","Soil exchangeable sodium percentage","decrease",NA,"10.1016/j.chemosphere.2021.130345","Soil amendment with lime and gypsum"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (fungi)","Soil fungi","increase",NA,"10.1016/j.chemosphere.2021.130345","Soil amendment with lime and gypsum"
"Soil health","Soil physico-chemical quality","Increase","Soil salinity","Total dissolved salt","decrease",NA,"10.1016/j.chemosphere.2021.130345","Soil amendment with lime and gypsum"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (arthropod)","Species richness - arthropod","increase",NA,"10.1088/1748-9326/ab4932","Grazing management"
"Biodiversity","Biodiversity","Increase","Biodiversity parameters (aggregated)","Species richness - overall","increase",NA,"10.1088/1748-9326/ab4932","Grazing management"
"Biodiversity","Biodiversity","Increase","Taxonomic parameters (plant)","Species richness - plant","increase",NA,"10.1088/1748-9326/ab4932","Grazing management"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (microbes)","Species richness - microbe","increase",NA,"10.1088/1748-9326/ab4932","Grazing management"
"Sustainable use of resources","Water use","Decrease","Water use efficiency","Irrigation water productivity (IWP, yield/irrigation water applied)","increase",NA,"10.1016/j.agwat.2022.107645","Water-saving irrigation practices in non-flooded lands"
"Sustainable use of resources","Water use","Decrease","Water use efficiency","Water productivity (WP, yield/crop evapotranspiration or yield/total water applied by irrigation and rainfall)","increase",NA,"10.1016/j.agwat.2022.107645","Water-saving irrigation practices in non-flooded lands"
"GHG emissions","GHG emissions","Decrease","Methane emission (soil)","CH4 uptake in uplands","increase",NA,"10.1016/j.fcr.2022.108566","Mulching"
"GHG emissions","GHG emissions","Decrease","Nitrous oxide emission (organic fertilisers)","N2O from soil","decrease",NA,"10.3390/agronomy10081149","Organic fertilisation"
"Pollution","Air pollutants emissions","Decrease","Ammonia emission (manure)","NH3-N loss","decrease",NA,"10.1016/j.scitotenv.2019.135401","Manure processing techniques"
"Pollution","Nutrient leaching and run-off","Decrease","Nitrogen loss","N leaching and runoff","decrease",NA,"10.3390/agronomy10081149","Organic fertilisation"
"Biodiversity","Biodiversity","Increase","Biodiversity parameters (aggregated)","Plant species richness, Fauna, Earthworm species richness, Spider species richness and abundance, Beetle species richness and abundance, Grasshopper species richness, Bird species richness","Increase",NA,"10.1111/1365-2664.13124","Cover and catch crops"
"Agricultural production","Crop yield","Increase","Crop yield","Grape quantity","Increase",NA,"10.1111/1365-2664.13124","Cover and catch crops"
"Biodiversity","Pests and diseases","Decrease","Functional parameters (natural enemies)","Natural enemy-related parameters (Abundance of potential natural enemies, Percentage of parasitism and predation)","Increase",NA,"10.1111/1365-2664.13124","Cover and catch crops"
"Biodiversity","Pests and diseases","Decrease","pest","Pest-related parameters (Pest abundance, Damage per vine and plot)","decrease",NA,"10.1111/1365-2664.13124","Cover and catch crops"
"Soil health","Soil erosion","Decrease","Soil erosion parameters","Erosion-related parameters: Water retention; Topsoil penetration resistance; Aggregate stability; Saturated hydraulic conductivity","Increase",NA,"10.1111/1365-2664.13124","Cover and catch crops"
"Soil health","Soil biological quality","Increase","Soil fertility","Soil fertility","Increase",NA,"10.1111/1365-2664.13124","Cover and catch crops"
"Soil health","Soil water retention","Increase","Soil water","Soil water budget parameters (Water stress integral, water loss, volumetric soil water content)","increase",NA,"10.1111/1365-2664.13124","Cover and catch crops"
"Sustainable use of resources","Plant nutrient uptake","Increase","Crop nitrogen uptake","Crop nitrogen uptake","increase",NA,"10.1111/gcb.14466","Crop residue management"
"Pollution","Nutrient leaching and run-off","Decrease","Nitrogen run-off","Nitrogen runoff","decrease",NA,"10.1111/gcb.14466","Crop residue management"
"Soil health","Soil nutrients","Increase","Soil nitrogen","Soil nitrogen content","increase",NA,"10.1111/gcb.14466","Crop residue management"
"Soil health","Soil biological quality","Increase","Functional parameters (enzymatic activity)","Soil urease activity","increase",NA,"10.1111/gcb.14466","Crop residue management"
"Pollution","Nutrient leaching and run-off","Decrease","Nitrogen run-off","N runoff","decrease",NA,"10.1111/gcb.13455","Low ammonia emission techniques for mineral fertilisation"
"Sustainable use of resources","Plant nutrient uptake","Increase","Crop nitrogen uptake","Total N uptake","increase",NA,"10.1111/gcb.13455","Low ammonia emission techniques for mineral fertilisation"
"Soil health","Soil erosion","Decrease","Soil erosion parameters","Annual soil loss","decrease","kg-sediments /km2 OR kg-sediment /area /time","10.1016/j.scitotenv.2018.07.124","Intercropping"
"Soil health","Soil erosion","Decrease","Soil erosion parameters","Annual runoff","decrease","m3 or mm on a given area","10.1016/j.scitotenv.2018.07.124","Intercropping"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon sequestration rate (belowground biomass)","Below-ground biomass","increase",NA,"10.1098/rspb.2020.2063","Grassland management"
"Soil health","Soil erosion","Decrease","Soil erosion parameters","Sediment regulation","increase",NA,"10.1111/rec.12435","Wetland conservation and restoration"
"Pollution","Water quality","Increase","Water quality parameters (aggregated)","Water purification","increase",NA,"10.1111/rec.12435","Wetland conservation and restoration"
"GHG emissions","GHG emissions","Decrease","Nitrous oxide emission (mineral fertilisers)","Mean of cumulative N2O emissions","decrease",NA,"10.1016/j.agee.2016.01.044","Enhanced efficiency fertilisers"
"Pollution","Air pollutants emissions","Decrease","Nitric oxide emission (soil)","Cumulative NO emission","decrease",NA,"10.1111/j.1365-2486.2009.02031.x","Enhanced efficiency fertilisers"
"GHG emissions","GHG emissions","Decrease","Nitrous oxide emission (mineral fertilisers)","Cumulative N2O emissions","decrease",NA,"10.1016/j.scitotenv.2018.05.356","Enhanced efficiency fertilisers"
"Soil health","Soil biological quality","Increase","Taxonomic parameters (microbes)","Soil total microbial biomass (Bacterial and fungal phospholipid fatty acids, PLFAs) and Fungi/bacteria ratio (F/B).","increase","Bacterial and fungal total phospholipid fatty acids, PLFAs","10.1016/j.scitotenv.2018.06.231","Soil amendment with biochar"
"Carbon sequestration","Carbon sequestration","Increase","Organic carbon content (soil)","Total organic carbon (i.e. carbon stored in soil organic matter)","increase",NA,"10.1007/s10113-018-1447-y","No irrigation"
"GHG emissions","GHG emissions","Decrease","Nitrous oxide emission (mineral fertilisers)","N2O emission (cumulative emission during a cropping cycle or the entire growing season of a year)","decrease",NA,"10.1111/gcb.13918","Enhanced efficiency fertilisers"
"Pollution","Nutrient leaching and run-off","Decrease","Nitrogen leaching","NO3 leaching (cumulative losses during a cropping cycle or the entire growing season of a year)","decrease",NA,"10.1111/gcb.13918","Enhanced efficiency fertilisers"
"Pollution","Nutrient leaching and run-off","Decrease","Nitrification/N-immobilization ratio","Nitrification (N)/ Inmobilization (I) ratio","decrease",NA,"10.1021/acs.est.0c08514","Grassland conservation and restoration"
"Sustainable use of resources","Plant nutrient uptake","Increase","Nitrogen use efficiency","NUE (proportion of applied N fertilizer assimilated in the above-ground or harvested parts)","increase","% of N applied which is recovered by plant uptake, in shoot + root","10.1111/gcb.13918","Enhanced efficiency fertilisers"
"Agricultural production","Crop yield","Increase","Crop yield","Yield (economic yield of a given crop, as total dry matter for grass, corn silage, and grains; or market weight (wet) for vegetables)","increase",NA,"10.1111/gcb.13918","Enhanced efficiency fertilisers"
